ETF,구성종목,비중,섹터,국가
QQQ,NVIDIA,9.1,Information Technology,미국
QQQ,Microsoft,8.2,Information Technology,미국
QQQ,Apple,7.4,Information Technology,미국
QQQ,Amazon,5.1,Consumer Discretionary,미국
SCHD,Broadcom,4.5,Information Technology,미국
SCHD,Cisco,4.1,Information Technology,미국
SCHD,Chevron,4.0,Energy,미국
SCHD,Home Depot,3.9,Consumer Discretionary,미국
SPY,NVIDIA,7.8,Information Technology,미국
SPY,Microsoft,6.6,Information Technology,미국
SPY,Apple,6.2,Information Technology,미국
SPY,Amazon,3.8,Consumer Discretionary,미국
